algorithm,role,n,agreement_rate,target_met_rate,successful_agreement_rate,target_given_agreement,mandate_violation_rate,mean_own_utility,utility_sd,mean_counterpart_utility,mean_joint_utility,mean_rounds,stop_rate,deadline_rate,mean_belief_entropy,empirical_cvar_10
principal_q,buyer,2000,0.985,0.7505,0.7505,0.7619289340101523,0.0,0.7513128993316234,0.0642173925305682,0.2571273985801047,1.008440297911728,6.456,0.0,0.015,1.0000000000000002,0.6572122606454529
principal_q,seller,2000,0.989,0.775,0.775,0.7836198179979778,0.0,0.7556984477584926,0.06428236963156699,0.2522955048474028,1.0079939526058954,6.406,0.0,0.011,1.0000000000000002,0.6574396066969049
bayesian_safe_q,buyer,2000,0.9645,0.836,0.836,0.866770347330223,0.0,0.764790847993881,0.05905679327060021,0.24176886404770043,1.0065597120415815,6.506,0.0,0.0355,0.19950517229033218,0.6810704711164977
bayesian_safe_q,seller,2000,0.9715,0.84,0.84,0.8646423057128152,0.0,0.7649189589194006,0.05922792837622336,0.2416416409523206,1.0065605998717213,6.5135,0.0,0.0285,0.18621923070185176,0.6816158608014694
pomdp_cvar_safe_q,buyer,2000,0.855,0.855,0.855,1.0,0.0,0.9322652189474396,0.07640161980872509,0.07029356464295657,1.0025587835903962,8.5405,0.0005,0.1445,0.18780097165623855,0.7660794082414022
pomdp_cvar_safe_q,seller,2000,0.85,0.85,0.85,1.0,0.0,0.9334088553549145,0.07282174664261436,0.069702901299461,1.0031117566543755,8.5685,0.0,0.15,0.18575344001464725,0.7720867212711597
